2023-03-12 19:55:34,898 - mylog - INFO - RINAS AIRPORT,里纳斯机场,TIRANA,地拉那,ALBANIA,阿尔巴尼亚,TIA,
2023-03-12 19:55:35,990 - mylog - INFO - LES SALINES AIRPORT,,ANNABA,安纳巴,ALGERIA,阿尔及利亚,AAE,
2023-03-12 19:55:36,094 - mylog - INFO - HOUARI BOUMEDIENE AIRPORT,阿尔及尔Houari Boumediene 机场,ALGIERS,阿尔及尔,ALGERIA,阿尔及利亚,ALG,
2023-03-12 19:55:36,193 - mylog - INFO - ADRAR AIRPORT,阿德拉尔机场,ADRAR,阿德拉尔,ALGERIA,阿尔及利亚,AZR,
2023-03-12 19:55:36,301 - mylog - INFO - SIDI BELABBES AIRPORT,,SIDI BELABBES,,ALGERIA,阿尔及利亚,BFW,
2023-03-12 19:55:36,407 - mylog - INFO - BEJAIA AIRPORT,贝贾亚机场,BEJAIA,贝贾亚,ALGERIA,阿尔及利亚,BJA,
2023-03-12 19:55:36,513 - mylog - INFO - BATNA AIRPORT,,BATNA,,ALGERIA,阿尔及利亚,BLJ,
2023-03-12 19:55:36,634 - mylog - INFO - BORDJ BADJI MOKHTAR AIRPORT,波尔吉?班?莫吉塔尔机场,BORDJ BADJI MOKHTAR,波尔吉?班?莫吉塔尔,ALGERIA,阿尔及利亚,BMW,
2023-03-12 19:55:36,744 - mylog - INFO - BISKRA AIRPORT,比斯克拉机场,BISKRA,比斯克拉,ALGERIA,阿尔及利亚,BSK,
2023-03-12 19:55:36,854 - mylog - INFO - AIN EDDIS AIRPORT,,BOUSSAADA,,ALGERIA,阿尔及利亚,BUJ,
2023-03-12 19:55:36,967 - mylog - INFO - LEGER AIRPORT,,BECHAR,贝沙尔,ALGERIA,阿尔及利亚,CBH,
2023-03-12 19:55:37,095 - mylog - INFO - CHLEF AIRPORT,谢里夫机场,CHLEF,谢里夫,ALGERIA,阿尔及利亚,CFK,
2023-03-12 19:55:37,206 - mylog - INFO - AIN EL BEY AIRPORT,,CONSTANTINE,康斯坦丁,ALGERIA,阿尔及利亚,CZL,
2023-03-12 19:55:37,336 - mylog - INFO - INEDBIRENNE AIRPORT,,DJANET,贾奈特,ALGERIA,阿尔及利亚,DJG,
2023-03-12 19:55:37,551 - mylog - INFO - EL GOLEA AIRPORT,埃尔果累阿机场,EL GOLEA,埃尔果累阿,ALGERIA,阿尔及利亚,ELG,
2023-03-12 19:55:37,666 - mylog - INFO - GUEMAR AIRPORT,,EL OUED,埃尔韦德,ALGERIA,阿尔及利亚,ELU,
2023-03-12 19:55:37,796 - mylog - INFO - GARA-DJEBILET AIRPORT,,GARA-DJEBILET,,ALGERIA,阿尔及利亚,GBB,
2023-03-12 19:55:37,923 - mylog - INFO - NOUMERATE AIRPORT,,GHARDAIA,加达亚,ALGERIA,阿尔及利亚,GHA,
2023-03-12 19:55:38,027 - mylog - INFO - JIJEL AIRPORT,吉杰勒机场,JIJEL,吉杰勒,ALGERIA,阿尔及利亚,GJL,
2023-03-12 19:55:38,130 - mylog - INFO - OUED IRARA AIRPORT,,HASSI MESSAOUD,哈西迈萨乌德,ALGERIA,阿尔及利亚,HME,
2023-03-12 19:55:38,234 - mylog - INFO - TILREMPT AIRPORT,,HASSI R'MEL,,ALGERIA,阿尔及利亚,HRM,
2023-03-12 19:55:38,353 - mylog - INFO - IN AMENAS AIRPORT,,IN AMENAS,英纳梅那斯,ALGERIA,阿尔及利亚,IAM,
2023-03-12 19:55:38,458 - mylog - INFO - IN GUEZZAM AIRPORT,英盖扎姆机场,IN GUEZZAM,英盖扎姆,ALGERIA,阿尔及利亚,INF,
2023-03-12 19:55:38,570 - mylog - INFO - IN SALAH AIRPORT,因萨拉机场,IN SALAH,因萨拉,ALGERIA,阿尔及利亚,INZ,
2023-03-12 19:55:38,676 - mylog - INFO - KOUBA AIRPORT,,KOUBA,,ALGERIA,阿尔及利亚,KDF,
2023-03-12 19:55:38,789 - mylog - INFO - L'MEKRAREG AIRPORT,,LAGHOUAT,拉格瓦特,ALGERIA,阿尔及利亚,LOO,
2023-03-12 19:55:38,894 - mylog - INFO - MOSTAGANEM AIRPORT,穆斯塔加奈姆机场,MOSTAGANEM,穆斯塔加奈姆,ALGERIA,阿尔及利亚,MQV,
2023-03-12 19:55:38,993 - mylog - INFO - MASCARA AIRPORT,穆阿斯凯尔机场,MASCARA,穆阿斯凯尔,ALGERIA,阿尔及利亚,MUW,
2023-03-12 19:55:39,109 - mylog - INFO - MECHRIA AIRPORT,梅西利亚机场,MECHRIA,梅西利亚,ALGERIA,阿尔及利亚,MZW,
2023-03-12 19:55:39,221 - mylog - INFO - AIN BEIDA AIRPORT,,OUARGLA,瓦尔格拉,ALGERIA,阿尔及利亚,OGX,
2023-03-12 19:55:39,323 - mylog - INFO - ES SENIA AIRPORT,,ORAN,奥兰,ALGERIA,阿尔及利亚,ORN,
2023-03-12 19:55:39,427 - mylog - INFO - SETIF AIRPORT,塞堤夫机场,SETIF,塞堤夫,ALGERIA,阿尔及利亚,QSF,
2023-03-12 19:55:39,530 - mylog - INFO - RELIZANE AIRPORT,埃利赞机场,RELIZANE,埃利赞,ALGERIA,阿尔及利亚,QZN,
2023-03-12 19:55:39,632 - mylog - INFO - SKIKDA AIRPORT,斯基克达机场,SKIKDA,斯基克达,ALGERIA,阿尔及利亚,SKI,
2023-03-12 19:55:39,739 - mylog - INFO - TAFARAOUI AIRPORT,,ORAN,奥兰,ALGERIA,阿尔及利亚,TAF,
2023-03-12 19:55:39,841 - mylog - INFO - TEBESSA AIRPORT,,TEBESSA,泰贝萨,ALGERIA,阿尔及利亚,TEE,
2023-03-12 19:55:39,953 - mylog - INFO - TOUGGOURT AIRPORT,图古尔特机场,TOUGGOURT,图古尔特,ALGERIA,阿尔及利亚,TGR,
2023-03-12 19:55:40,059 - mylog - INFO - BOUCHEKIF AIRPORT,,TIARET,提亚雷特,ALGERIA,阿尔及利亚,TID,
2023-03-12 19:55:40,169 - mylog - INFO - TINDOUF AIRPORT,廷杜夫机场,TINDOUF,廷杜夫,ALGERIA,阿尔及利亚,TIN,
2023-03-12 19:55:40,267 - mylog - INFO - ZENATA AIRPORT,,TLEMCEN,特莱姆森,ALGERIA,阿尔及利亚,TLM,
2023-03-12 19:55:40,366 - mylog - INFO - AGUEMAR AIRPORT,,TAMENGHEST,塔曼拉塞特,ALGERIA,阿尔及利亚,TMR,
2023-03-12 19:55:40,463 - mylog - INFO - TIMIMOUN AIRPORT,提米蒙机场,TIMIMOUN,提米蒙,ALGERIA,阿尔及利亚,TMX,
2023-03-12 19:55:40,558 - mylog - INFO - ILLIZI AIRPORT,伊利齐机场,ILLIZI,伊利齐,ALGERIA,阿尔及利亚,VVZ,
2023-03-12 19:55:41,844 - mylog - INFO - ANDULO AIRPORT,安杜洛机场,ANDULO,安杜洛,ANGOLA,安哥拉,ANL,
2023-03-12 19:55:41,942 - mylog - INFO - N'ZETO AIRPORT,恩泽托机场,N'ZETO,恩泽托,ANGOLA,安哥拉,ARZ,
2023-03-12 19:55:42,048 - mylog - INFO - AMBRIZ AIRPORT,昂布里希机场,AMBRIZ,昂布里希,ANGOLA,安哥拉,AZZ,
2023-03-12 19:55:42,164 - mylog - INFO - GEN V DESLANDES AIRPORT,,BENGUELA,本格拉,ANGOLA,安哥拉,BUG,
2023-03-12 19:55:42,279 - mylog - INFO - CABINDA AIRPORT,卡宾达机场,CABINDA,卡宾达,ANGOLA,安哥拉,CAB,
2023-03-12 19:55:42,398 - mylog - INFO - CAZOMBO AIRPORT,卡宗博机场,CAZOMBO,卡宗博,ANGOLA,安哥拉,CAV,
2023-03-12 19:55:42,510 - mylog - INFO - CATUMBELA AIRPORT,,CATUMBELA,,ANGOLA,安哥拉,CBT,
2023-03-12 19:55:42,606 - mylog - INFO - WAKO KUNGO,,MAMBAJAO,,ANGOLA,安哥拉,CEO,
2023-03-12 19:55:42,731 - mylog - INFO - CAFUNFO AIRPORT,,CAFUNFO,,ANGOLA,安哥拉,CFF,
2023-03-12 19:55:42,849 - mylog - INFO - CANGAMBA AIRPORT,坎甘巴机场,CANGAMBA,坎甘巴,ANGOLA,安哥拉,CNZ,
2023-03-12 19:55:42,942 - mylog - INFO - CUITO CUANAVALE AIRPORT,奎托夸纳瓦机场,CUITO CUANAVALE,奎托夸纳瓦,ANGOLA,安哥拉,CTI,
2023-03-12 19:55:43,068 - mylog - INFO - DIRICO AIRPORT,迪里科机场,DIRICO,迪里科,ANGOLA,安哥拉,DRC,
2023-03-12 19:55:43,184 - mylog - INFO - DUNDO AIRPORT,栋多机场,DUNDO,栋多,ANGOLA,安哥拉,DUE,
2023-03-12 19:55:43,289 - mylog - INFO - LUMBALA AIRPORT,,LUMBALA,,ANGOLA,安哥拉,GGC,
2023-03-12 19:55:43,397 - mylog - INFO - NEGAGE AIRPORT,内加热机场,NEGAGE,内加热,ANGOLA,安哥拉,GXG,
2023-03-12 19:55:43,514 - mylog - INFO - JAMBA AIRPORT,贾姆巴机场,JAMBA,贾姆巴,ANGOLA,安哥拉,JMB,
2023-03-12 19:55:43,627 - mylog - INFO - CAPANDA AIRPORT,卡潘达机场,CAPANDA,卡潘达,ANGOLA,安哥拉,KNP,
